Date,Shift
2026-08-28,2
2026-08-29,2
2026-08-30,2
2026-09-02,2
2026-09-03,2
2026-09-07,2
2026-09-08,2
2026-09-11,1
2026-09-12,1
2026-09-13,1
2026-09-16,1
2026-09-17,1
2026-09-21,F12
2026-09-22,F12
2026-09-25,2
2026-09-26,2
2026-09-27,2
2026-09-28,SA
2026-09-30,2
2026-10-01,2
2026-10-05,2
2026-10-06,2
2026-10-09,1
2026-10-10,1
2026-10-11,1
2026-10-14,1
2026-10-15,1
2026-10-19,1
2026-10-20,1
2026-10-23,2
2026-10-24,2
2026-10-25,2
2026-10-28,2
2026-10-29,2
2026-11-02,2
2026-11-03,2
2026-11-06,SA
2026-11-07,1
2026-11-08,1
2026-11-11,1
2026-11-12,1
2026-11-16,1
2026-11-17,1
2026-11-20,2
2026-11-21,2
2026-11-22,2
2026-11-25,2
2026-11-26,2
2026-11-30,2
2026-12-01,2
2026-12-04,1
2026-12-05,1
2026-12-06,1
2026-12-09,1
2026-12-10,1
2026-12-14,F12
2026-12-15,F12
